name,team,agents,rounds,rating,ACS,KD,ADR,KPR,APR,FKPR
ardiis,NRG,"['jett', 'chamber', 'kayo']",1465,1.07,231.0,1.13,149.4,0.81,0.21,0.16
aspas,LOUD,"['jett', 'raze', 'chamber']",657,1.07,229.8,1.14,145.9,0.8,0.16,0.15
bang,100T,"['kayo', 'breach', 'brimstone']",847,1.07,208.8,1.08,136.0,0.74,0.35,0.09
SUYGETSU,NAVI,"['cypher', 'skye', 'viper']",1421,1.07,205.7,1.11,137.6,0.74,0.25,0.06
brawk,BRK,"['breach', 'fade', 'sova']",182,1.07,165.2,1.04,116.4,0.59,0.4,0.04
mindfreak,PRX,"['brimstone', 'omen', 'viper']",749,1.07,190.7,1.09,122.2,0.69,0.31,0.05
QutionerX,BBL,"['jett', 'neon', 'raze']",233,1.06,232.3,1.09,149.6,0.81,0.14,0.18
koalanoob,M80,"['jett', 'chamber']",182,1.06,216.6,1.14,141.0,0.79,0.15,0.18
Asuna,100T,"['raze', 'jett', 'skye']",889,1.06,228.1,1.04,145.3,0.76,0.36,0.15
7ssk7,IWC,"['jett', 'raze', 'chamber']",488,1.06,219.8,1.15,141.7,0.8,0.13,0.21
d4v41,PRX,"['skye', 'chamber', 'sage']",749,1.06,189.4,1.03,124.0,0.66,0.35,0.06
Shyy,LEV,"['fade', 'skye', 'kayo']",458,1.06,190.1,1.0,120.7,0.67,0.41,0.06
keznit,LEV,"['jett', 'chamber', 'raze']",415,1.05,230.4,1.01,150.4,0.77,0.26,0.18
Witz,NAOS,"['jett', 'skye', 'chamber']",252,1.05,192.6,1.02,125.4,0.67,0.24,0.12
Melser,KRÜ,"['omen', 'viper', 'astra']",542,1.05,187.2,1.05,125.4,0.66,0.33,0.04
CHICHOO,EDG,"['viper', 'sage', 'omen']",107,1.05,174.8,0.97,122.2,0.6,0.35,0.04
Laz,ZETA,"['chamber', 'killjoy', 'viper']",511,1.05,221.0,1.12,143.2,0.79,0.19,0.15
ScreaM,KCORP,"['reyna', 'skye', 'kayo']",851,1.05,232.7,1.07,156.1,0.79,0.22,0.14
zander,M80,"['astra', 'viper', 'omen']",342,1.05,212.8,1.03,136.1,0.74,0.4,0.12
Apinya,FS,"['sova', 'viper', 'sage']",196,1.05,235.9,1.05,164.9,0.81,0.23,0.09
C0M,EG,"['viper', 'breach', 'sova']",524,1.04,196.3,0.98,131.1,0.66,0.39,0.06
Meteor,GEN,"['jett', 'neon', 'chamber']",150,1.04,229.1,1.16,151.7,0.83,0.16,0.22
Sayaplayer,T1,"['jett', 'raze', 'chamber']",776,1.04,222.8,1.1,142.3,0.77,0.15,0.17
pANcada,SEN,"['sage', 'omen', 'chamber']",657,1.04,194.5,1.06,128.6,0.7,0.32,0.07
baddyG,ACE,"['astra', 'omen', 'sage']",210,1.04,205.6,1.03,131.9,0.7,0.37,0.1
zekken,SEN,"['raze', 'kayo', 'sage']",921,1.04,221.3,1.04,145.8,0.76,0.26,0.13
Marved,FaZe,"['viper', 'astra', 'brimstone']",1958,1.04,202.7,1.04,131.9,0.71,0.33,0.09
johnqt,M80,"['chamber', 'sage', 'fade']",182,1.03,192.7,1.05,124.7,0.68,0.32,0.1
Enzo,APK,"['viper', 'fade', 'sova']",688,1.03,171.9,0.99,115.5,0.6,0.35,0.03
Derrek,100T,"['sova', 'breach', 'sage']",961,1.03,187.3,1.0,127.3,0.67,0.27,0.06
ZmjjKK,EDG,"['chamber', 'raze']",107,1.03,247.8,1.07,150.5,0.82,0.15,0.23
rDeeW,BOBO,"['killjoy', 'chamber', 'cypher']",217,1.03,222.6,1.16,145.0,0.82,0.23,0.1
SugarZ3ro,ZETA,"['viper', 'astra', 'brimstone']",511,1.03,209.6,1.06,136.1,0.75,0.33,0.06
BcJ,EG,"['sova', 'skye', 'breach']",921,1.03,190.7,0.98,127.6,0.65,0.33,0.08
xeta,T1,"['breach', 'sova']",417,1.03,171.8,0.98,114.3,0.61,0.25,0.04
crashies,NRG,"['sova', 'viper', 'skye']",1958,1.03,189.1,1.02,125.6,0.66,0.33,0.06
bdog,SR,"['jett', 'chamber', 'sage']",652,1.03,221.3,1.15,142.9,0.82,0.16,0.15
